shape,noise,init,model,attack,norm,eps,n,clean_rel_l2_mean,clean_rel_l2_median,clean_mse_mean,clean_mse_median,adv_rel_l2_mean,adv_rel_l2_median,adv_mse_mean,adv_mse_median
ellipses,0.01,tv,resnet,adam,l2,0.02,32,0.020059730566572398,0.01590473484247923,1.0495388490738833e-05,6.547749535457115e-06,0.4791642711497843,0.43086330592632294,0.013822250509292644,0.00372801732737571
ellipses,0.01,tv,resnet,adam,l2,0.05,32,0.020059730566572398,0.01590473484247923,1.0495388490738833e-05,6.547749535457115e-06,1.6436098758131266,1.6104256510734558,0.14015364807710284,0.04320825636386871
ellipses,0.01,tv,resnet,adam,l2,0.1,32,0.020059730566572398,0.01590473484247923,1.0495388490738833e-05,6.547749535457115e-06,3.705433776602149,3.6761491298675537,0.4937623456971778,0.25150661170482635
ellipses,0.01,tv,resnet,adam,l2,0.2,32,0.020059730566572398,0.01590473484247923,1.0495388490738833e-05,6.547749535457115e-06,7.136328145861626,7.043016672134399,1.2257453696802258,1.1619811058044434
rectangles,0.01,pinv,dpnsn,adam,l2,0.005,32,0.165856861975044,0.16253682225942612,0.0014744857217010576,0.0011209662188775837,0.525202970020473,0.5139707326889038,0.012155370350228623,0.011501950211822987
rectangles,0.01,pinv,dpnsn,adam,l2,0.01,32,0.165856861975044,0.16253682225942612,0.0014744857217010576,0.0011209662188775837,0.9463911540806293,0.9364002048969269,0.03847987810149789,0.0379980243742466
rectangles,0.01,pinv,dpnsn,adam,l2,0.02,32,0.165856861975044,0.16253682225942612,0.0014744857217010576,0.0011209662188775837,1.8243190459907055,1.812384009361267,0.1417952016927302,0.14152944087982178
rectangles,0.01,pinv,dpnsn,adam,l2,0.05,32,0.165856861975044,0.16253682225942612,0.0014744857217010576,0.0011209662188775837,4.414842903614044,4.3687732219696045,0.8285559751093388,0.8293441832065582
rectangles,0.01,pinv,dpnsn,adam,l2,0.1,32,0.165856861975044,0.16253682225942612,0.0014744857217010576,0.0011209662188775837,8.608351364731789,8.511623859405518,3.1466697305440903,3.140063762664795
rectangles,0.01,pinv,dpnsn,adam,l2,0.2,32,0.165856861975044,0.16253682225942612,0.0014744857217010576,0.0011209662188775837,17.02679291367531,16.8320894241333,12.300956457853317,12.288918495178223
